group, axis, value
Injuries,Nightclub,1.388888889
Injuries,Open Public Area  ,0
Injuries,Others,0
Injuries,Store/Mall,0
Injuries,Residential Area,20.23470839
Injuries,Places of Worship,1.388888889
Injuries,Restaurant,0
Injuries,School,125.5818563
Injuries,Workplace,44.32613025
Fatalities,Nightclub,18.05555556
Fatalities,Open Public Area  ,0
Fatalities,Others,0
Fatalities,Store/Mall,0
Fatalities,Residential Area,13.371266
Fatalities,Places of Worship,8.333333333
Fatalities,Restaurant,0
Fatalities,School,61.43130882
Fatalities,Workplace,58.25038012
Total Victims,Nightclub,19.44444444
Total Victims,Open Public Area  ,0
Total Victims,Others,0
Total Victims,Store/Mall,0
Total Victims,Residential Area,32.29018492
Total Victims,Places of Worship,9.722222222
Total Victims,Restaurant,0
Total Victims,School,180.2529312
Total Victims,Workplace,72.18512937
